dataset,model,seeds,HR@5_mean,HR@5_std,NDCG@5_mean,NDCG@5_std,HR@10_mean,HR@10_std,NDCG@10_mean,NDCG@10_std,elapsed_seconds_mean,elapsed_seconds_std,best_epoch_mean,best_epoch_std,parameters_mean,parameters_std
Grocery_RoTE_99Unique,RoTE,"0,1,2",0.34983333333333333,0.006957969052340883,0.2445,0.004350861983561425,0.4551,0.01041297267834694,0.2786,0.004403407771260787,139.31333333333333,0.7280338819954217,7.666666666666667,0.5773502691896257,140848,0.0
Grocery_RoTE_99Unique,SASRec,"0,1,2",0.3469,0.0055380501984001644,0.24033333333333334,0.006368935023481825,0.45753333333333335,0.0006429100507328764,0.27623333333333333,0.004965212315030782,84.82,3.068436083740385,8,0.0,141184,0.0
Grocery_RoTE_99Unique,GRU4Rec,"0,1,2",0.28276666666666667,0.003059956426705,0.18356666666666666,0.001877054430040135,0.41809999999999997,0.0036496575181789313,0.2275,0.0021166010488516754,77.74333333333333,1.3072617692464432,8,0.0,141328,0.0
ML_1MTOPK_RoTE,RoTE,"0,1,2",0.5871666666666666,0.00505206228517949,0.4230333333333333,0.0035725807665234525,0.7378666666666667,0.004273562136360419,0.4719333333333333,0.003914502948438441,749.7966666666666,99.82071545192076,8,0.0,51440,0.0
ML_1MTOPK_RoTE,SASRec,"0,1,2",0.5945666666666667,0.007318697516179604,0.43146666666666667,0.0076559345173096375,0.7362333333333334,0.007565932416651191,0.47736666666666666,0.008203251387915254,487.74666666666667,29.01613746406186,8,0.0,51776,0.0
ML_1MTOPK_RoTE,GRU4Rec,"0,1,2",0.4736,0.002600000000000019,0.3208666666666667,0.002214347157365667,0.6377666666666667,0.008859646343581284,0.37396666666666667,0.004055038018728469,646.1333333333333,19.29223764453808,8,0.0,51920,0.0
